ID;Jugador;Equipo;Posicion
ivan-gil;Iván Gil;SD Eibar;Centrocampistas
ivan-jaime;Iván Jaime;Valencia CF;Centrocampistas
ivan-martin;Iván Martín;Girona FC;Centrocampistas
i-sanchez;Iván Sánchez Aguayo;Real Valladolid CF;Centrocampistas
inigo-arguibide;Iñigo Arguibide;CA Osasuna;Centrocampistas
jailson;Jailson Marques Siqueira;RC Celta;Centrocampistas
james-1;James Rodríguez;Sin equipo;Centrocampistas
jan-salas;Jan Salas;RCD Mallorca;Centrocampistas
javier-guerra;Javi Guerra;Valencia CF;Centrocampistas
javi-martinez-2;Javi Martínez;SD Eibar;Centrocampistas
javi-munoz;Javi Muñoz;UD Las Palmas;Centrocampistas
javier-serrano;Javi Serrano;Atlético de Madrid;Centrocampistas
jhon-solis;Jhon Solís;Girona FC;Centrocampistas
jordan;Joan Jordán;Deportivo Alavés;Centrocampistas
casals;Joel Roca;CD Mirandés;Centrocampistas
j-patrick;John Patrick;Reims;Centrocampistas
joao-cardoso;Johnny Cardoso;Real Betis;Centrocampistas
guridi;Jon Guridi;Deportivo Alavés;Centrocampistas
jon-magunacelaya;Jon Magunazelaia;Córdoba CF;Centrocampistas
moncayola;Jon Moncayola;CA Osasuna;Centrocampistas
jon-ander-olasagasti;Jon Olasagasti;Real Sociedad;Centrocampistas
joni-montiel;Joni Montiel;Rayo Vallecano;Centrocampistas
j-g-campana;José Campaña;UD Las Palmas;Centrocampistas
gragera;José Gragera;RCD Espanyol de Barcelona;Centrocampistas
juan-cruz;Juan Cruz;CD Leganés;Centrocampistas
juanlu-1;Juanlu Sánchez;Sevilla FC;Centrocampistas
jude-bellingham;Jude Bellingham;Real Madrid;Centrocampistas
julian-chicco;Julián Chicco;CD Leganés;Centrocampistas
justin-smith;Justin Smith;RCD Espanyol de Barcelona;Centrocampistas
kenedy;Robert Kenedy Nunes do Nascimento;Real Valladolid CF;Centrocampistas
kike-1;Kike Pérez;Venezia FC;Centrocampistas
kirian;Kirian Rodríguez;UD Las Palmas;Centrocampistas
koke;Jorge Resurrección Merodio;Atlético de Madrid;Centrocampistas
luca-de-la-torre;Luca de la Torre;Sin equipo;Centrocampistas
l-ocampos;Lucas Ocampos;Sin equipo;Centrocampistas
torro;Lucas Torró;CA Osasuna;Centrocampistas
lucien-agoume;Lucien Agoumé;Sevilla FC;Centrocampistas
l-milla;Luis Milla;Getafe CF;Centrocampistas
modric;Luka Modric;Real Madrid;Centrocampistas
luka-sucic;Luka Sucic;Real Sociedad;Centrocampistas
manu-bueno;Manu Bueno;Sevilla FC;Centrocampistas
manu-fuster;Manu Fuster;UD Las Palmas;Centrocampistas
morlanes;Manu Morlanes;RCD Mallorca;Centrocampistas
marc-bernal;Marc Bernal;FC Barcelona;Centrocampistas
marc-casado;Marc Casadó;FC Barcelona;Centrocampistas
marc-roca;Marc Roca;Real Betis;Centrocampistas
m-llorente;Marcos Llorente;Atlético de Madrid;Centrocampistas
mario-maroto;Mario Maroto;Real Valladolid CF;Centrocampistas
mario-martin;Mario Martín;Real Valladolid CF;Centrocampistas
zubimendi;Martín Zubimendi;Real Sociedad;Centrocampistas
mateo-flores;Mateo Flores;Real Betis;Centrocampistas
m-arambarri;Mauro Arambarri;Getafe CF;Centrocampistas
mikel-jauregizar;Mikel Jauregizar;Athletic Club;Centrocampistas
vesga;Mikel Vesga;Athletic Club;Centrocampistas
moi-gomez;Moi Gómez;CA Osasuna;Centrocampistas
naci-unuvar;Naci Ünüvar;Sin equipo;Centrocampistas
naim-garcia;Naim García;Racing Club Ferrol;Centrocampistas
gudelj;Nemanja Gudelj;Sevilla FC;Centrocampistas
noah-darvich;Noah Darvich;FC Barcelona;Centrocampistas
o-sancet-1;Oihan Sancet;Athletic Club;Centrocampistas
mascarell;Omar Mascarell;RCD Mallorca;Centrocampistas
