ID;Jugador;Equipo;Posicion
valentinrosier;Valentin Rosier;CD Leganes;Defensas
valentinbarco;Valentin Barco;Strasbourg;Defensas
valentinpezzolesi;Valentin Pezzolesi;UD Las Palmas;Defensas
valery;Valery Fernandez;RCD Mallorca;Defensas
willykambwala;Willy Kambwala;Villarreal CF;Defensas
xavierpleguezuelo;Xavier Pleguezuelo;Real Betis;Defensas
yarekgasiorowski;Yarek Gasiorowski;Valencia CF;Defensas
yeray2;Yeray Alvarez;Athletic Club;Defensas
yoellago;Yoel Lago;RC Celta;Defensas
yousseflekhedim;Youssef Lekhedim;Real Madrid;Defensas
youssoufsabaly;Youssouf Sabaly;Real Betis;Defensas
yurib;Yuri Berchiche;Athletic Club;Defensas
alexmunoz;Alex Munoz;UD Las Palmas;Defensas
alexsuarez;Alex Suarez;UD Las Palmas;Defensas
alexvalle;Alex Valle;Como;Defensas
alvarocortes1;Alvaro Cortes;FC Barcelona;Defensas
odriozola;Alvaro Odriozola;Real Sociedad;Defensas
atejero;Alvaro Tejero;RCD Espanyol de Barcelona;Defensas
emilitao;Eder Gabriel Militao;Real Madrid;Defensas
ilekue;Inigo Lekue;Athletic Club;Defensas
demarcos;Oscar De Marcos;Athletic Club;Defensas
mingueza;Oscar Mingueza;RC Celta;Defensas
aboubacarbassinga;Aboubacar Bassinga;UD Las Palmas;Centrocampistas
januzaj;Adnan Januzaj;UD Las Palmas;Centrocampistas
aimar1;Aimar Oroz;CA Osasuna;Centrocampistas
aitorgismera;Aitor Gismera;Atletico de Madrid;Centrocampistas
alassanediatta;Alassane Diatta;Villarreal CF;Centrocampistas
albertmboyosambilokonga;Albert Sambi Lokonga;Sevilla FC;Centrocampistas
albertocollado;Alberto Collado;Sevilla FC;Centrocampistas
amoleiro;Alberto Moleiro;UD Las Palmas;Centrocampistas
albertorisco;Alberto Risco;Getafe CF;Centrocampistas
alexkral;Alex Kral;RCD Espanyol de Barcelona;Centrocampistas
alifadal;Ali Fadal;Valencia CF;Centrocampistas
guevara;Ander Guevara;Deportivo Alaves;Centrocampistas
ander;Ander Herrera;Sin equipo;Centrocampistas
andrealmeida1;Domingos Andre Ribeiro Almeida;Valencia CF;Centrocampistas
antonioblanco;Antonio Blanco;Deportivo Alaves;Centrocampistas
sanchez;Antonio Sanchez;RCD Mallorca;Centrocampistas
atuhami;Anuar Tuhami;Real Valladolid CF;Centrocampistas
ardaguler;Arda Guler;Real Madrid;Centrocampistas
arsenzakharyan;Arsen Zakharyan;Real Sociedad;Centrocampistas
arthur;Arthur Henrique Ramos de Oliveira Melo;Girona FC;Centrocampistas
arthurvermeeren;Arthur Vermeeren;RB Leipzig;Centrocampistas
asierosambela;Asier Osambela;CA Osasuna;Centrocampistas
aurelientchouameni;Aurelien Tchouameni;Real Madrid;Centrocampistas
bramirez;Benito Ramirez;UD Las Palmas;Centrocampistas
benatprados;Benat Prados;Athletic Club;Centrocampistas
benatturrientes;Benat Turrientes;Real Sociedad;Centrocampistas
brahim;Brahim Diaz;Real Madrid;Centrocampistas
braismendez;Brais Mendez;Real Sociedad;Centrocampistas
alena;Carles Alena;Deportivo Alaves;Centrocampistas
carlosbenavidez;Carlos Benavidez;Deportivo Alaves;Centrocampistas
carlosguirao;Carlos Guirao;Real Betis;Centrocampistas
chemaandres;Jose Maria Andres Baixauli;Real Madrid;Centrocampistas
christantusuche;Christantus Uche;Getafe CF;Centrocampistas
ivancantalejo;Ivan Cantalejo;Real Valladolid CF;Centrocampistas
conorgallagher;Conor Gallagher;Atletico de Madrid;Centrocampistas
cdelahoz;Cesar de la Hoz;Real Oviedo;Centrocampistas
damianrodriguez;Damian Rodriguez;RC Celta;Centrocampistas
