ID;Jugador;Equipo;Posicion
koke;Jorge Resurreccion Merodio;Atletico de Madrid;Centrocampistas
l-ocampos;Lucas Ocampos;Sevilla FC;Centrocampistas
torro;Lucas Torro;CA Osasuna;Centrocampistas
lucas-v;Lucas Vazquez;Real Madrid;Centrocampistas
lucien-agoume;Lucien Agoume;Sevilla FC;Centrocampistas
l-milla;Luis Milla;Getafe CF;Centrocampistas
modric;Luka Modric;Real Madrid;Centrocampistas
luka-sucic;Luka Sucic;Real Sociedad;Centrocampistas
manu-fuster;Manu Fuster;UD Las Palmas;Centrocampistas
morlanes;Manu Morlanes;RCD Mallorca;Centrocampistas
marc-bernal;Marc Bernal;FC Barcelona;Centrocampistas
marc-casado;Marc Casado;FC Barcelona;Centrocampistas
marc-roca;Marc Roca;Real Betis;Centrocampistas
m-llorente;Marcos Llorente;Atletico de Madrid;Centrocampistas
mario-martin;Mario Martin;Real Valladolid CF;Centrocampistas
martin-tejon;Martin Tejon;Valencia CF;Centrocampistas
zubimendi;Martin Zubimendi;Real Sociedad;Centrocampistas
m-arambarri;Mauro Arambarri;Getafe CF;Centrocampistas
mikel-jauregizar;Mikel Jauregizar;Athletic Club;Centrocampistas
vesga;Mikel Vesga;Athletic Club;Centrocampistas
moi-gomez;Moi Gomez;CA Osasuna;Centrocampistas
naci-unuvar;Naci Unuvar;Sin equipo;Centrocampistas
gudelj;Nemanja Gudelj;Sevilla FC;Centrocampistas
o-sancet-1;Oihan Sancet;Athletic Club;Centrocampistas
mascarell;Omar Mascarell;RCD Mallorca;Centrocampistas
oriol-romeu;Oriol Romeu;Girona FC;Centrocampistas
pablo-barrios-rivas;Pablo Barrios;Atletico de Madrid;Centrocampistas
p-fornals;Pablo Fornals;Real Betis;Centrocampistas
pablo-ibanez;Pablo Ibanez;CA Osasuna;Centrocampistas
pablo-marin;Pablo Marin;Real Sociedad;Centrocampistas
pablo-rivera;Pablo Rivera;Sevilla FC;Centrocampistas
pablo-torre;Pablo Torre;FC Barcelona;Centrocampistas
pape-alassane-gueye;Pape Gueye;Villarreal CF;Centrocampistas
pathe-ciss;Pathe Ciss;Rayo Vallecano;Centrocampistas
pedri;Pedro Gonzalez Lopez;FC Barcelona;Centrocampistas
pedro-diaz;Pedro Diaz;Rayo Vallecano;Centrocampistas
pepelu;Jose Luis Garcia Vaya;Valencia CF;Centrocampistas
pere-milla;Pere Milla;RCD Espanyol de Barcelona;Centrocampistas
pol-lozano;Pol Lozano;RCD Espanyol de Barcelona;Centrocampistas
rafael-bauza;Rafael Bauza;RCD Espanyol de Barcelona;Centrocampistas
r-terrats;Ramon Terrats;Villarreal CF;Centrocampistas
nteka;Randy Nteka;Rayo Vallecano;Centrocampistas
raul-chasco;Raul Chasco;Real Valladolid CF;Centrocampistas
tapia-1;Renato Tapia;CD Leganes;Centrocampistas
navarro-2;Robert Navarro;RCD Mallorca;Centrocampistas
lopez-alcaide;Roberto Lopez;CD Leganes;Centrocampistas
rodri-3;Rodrigo Sanchez Rodriguez;Real Betis;Centrocampistas
de-paul;Rodrigo De Paul;Atletico de Madrid;Centrocampistas
riquelme;Rodrigo Riquelme;Atletico de Madrid;Centrocampistas
ruben-garcia;Ruben Garcia;CA Osasuna;Centrocampistas
sanchez-1;Salvi Sanchez;RCD Espanyol de Barcelona;Centrocampistas
samuel-lino;Samuel Dias Lino;Atletico de Madrid;Centrocampistas
samu-3;Samuel de Almeida Costa;RCD Mallorca;Centrocampistas
santi-c-v;Santi Comesana;Villarreal CF;Centrocampistas
saul-1;Saul Niguez;Sevilla FC;Centrocampistas
selim-amallah;Selim Amallah;Real Valladolid CF;Centrocampistas
sergi-altimira;Sergi Altimira;Real Betis;Centrocampistas
sergi-canos;Sergi Canos;Valencia CF;Centrocampistas
s-darder;Sergi Darder;RCD Mallorca;Centrocampistas
seydouba-cisse;Seydouba Cisse;CD Leganes;Centrocampistas
stanis-idumbo-muzambo;Stanis Idumbo Muzambo;Sevilla FC;Centrocampistas
stanko-juric;Stanko Juric;Real Valladolid CF;Centrocampistas
toni-villa;Laureano Antonio Villa Suarez;SD Eibar;Centrocampistas
unai-gomez;Unai Gomez;Athletic Club;Centrocampistas
unai-lopez;Unai Lopez;Rayo Vallecano;Centrocampistas
gonzalez-de-zarate;Urko Gonzalez;Real Sociedad;Centrocampistas
viti;Viti Rozada;UD Las Palmas;Centrocampistas
v-meseguer;Victor Meseguer;Real Valladolid CF;Centrocampistas
william-2;William Silva de Carvalho;Real Betis;Centrocampistas
williot-swedberg;Williot Swedberg;RC Celta;Centrocampistas
herrera-1;Yangel Herrera;Girona FC;Centrocampistas
jesus-santiago;Jesus Santiago Perez;Getafe CF;Centrocampistas
yeremy;Yeremy Pino;Villarreal CF;Centrocampistas
yvan-neyou;Yvan Neyou;CD Leganes;Centrocampistas
yaser-asprilla;Yaser Asprilla;Girona FC;Centrocampistas
alex-b;Alex Baena;Villarreal CF;Centrocampistas
alejandro-gil;Alex Gil;Sin equipo;Centrocampistas
aguado-1;Alvaro Aguado;RCD Espanyol de Barcelona;Centrocampistas
alvaro-1;Alvaro Garcia;Rayo Vallecano;Centrocampistas
oscar-4;Oscar Rodriguez;CD Leganes;Centrocampistas
oscar-trejo;Oscar Trejo;Rayo Vallecano;Centrocampistas
oscar-5;Oscar Valentin;Rayo Vallecano;Centrocampistas
abdessamad-ezzalzouli;Abde Ezzalzouli;Real Betis;Delanteros
abderrahman-rebbach;Abde Rebbach;Deportivo Alaves;Delanteros
abdon;Abdon Prats;RCD Mallorca;Delanteros
abel-ruiz;Abel Ruiz;Girona FC;Delanteros
embarba;Adri Embarba;Rayo Vallecano;Delanteros
malcom-adu-ares;Malcom Abdulai Ares Djalo;Real Zaragoza;Delanteros
alberto-mari;Alberto Mari;Real Zaragoza;Delanteros
alejo-veliz;Alejo Veliz;RCD Espanyol de Barcelona;Delanteros
