ID;Jugador;CL;ENT;DUE;D;DA;PC;PCC;PLC;PH;GPT;GPTFA;GPTDA;GCPI;GCPD;CG;GABP
thiago-ojeda;Thiago Ojeda;0;0;1;1;0;7;7;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
courtois;Thibaut Courtois;0;0;8;1;7;634;478;53;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
thierno-barry-1;Thierno Barry;0;10;228;118;110;226;132;4;1;0.17;0.00;0.17;0.04;0.07;0.07;0.00
thierry-r;Thierry Rendall Correia;0;27;98;86;12;338;235;13;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lemar;Thomas Lemar;0;0;3;3;0;6;5;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
tomas-conechny;Tomás Conechny;3;10;103;68;35;232;149;2;2;0.07;0.00;0.07;0.00;0.00;0.07;0.00
toni-fernandez;Toni Fernández;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lato;Antonio Latorre Grueso;0;7;25;19;6;114;79;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
t-martinez;Toni Martínez;0;9;145;37;108;168;103;0;2;0.11;0.07;0.04;0.04;0.07;0.00;0.00
toni-villa;Laureano Antonio Villa Suárez;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sadiq;Umar Sadiq;0;7;100;65;35;96;63;2;0;0.20;0.00;0.20;0.00;0.00;0.20;0.00
unai-egiluz;Unai Egiluz;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
unai-garcia;Unai García;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
unai-gomez;Unai Gómez;9;6;94;56;38;160;108;5;2;0.14;0.00;0.14;0.14;0.00;0.00;0.00
unai-lopez;Unai López;7;19;88;74;14;769;624;33;3;0.30;0.10;0.20;0.00;0.20;0.10;0.00
marrero;Unai Marrero;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
nunez-2;Unai Núñez;0;2;16;9;7;145;117;9;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
unai-simon;Unai Simón;0;0;3;1;2;187;94;38;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
gonzalez-de-zarate;Urko González;0;11;38;24;14;93;69;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
valentin-rosier;Valentin Rosier;0;51;194;159;35;630;465;25;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
valentin-barco;Valentín Barco;9;15;46;43;3;135;100;7;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
valentin-pezzolesi;Valentín Pezzolesi;0;0;0;0;0;5;2;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
valery;Valery Fernández;0;8;25;21;4;63;55;1;0;0.67;0.00;0.67;0.33;0.33;0.00;0.00
