ID;Jugador;Equipo;Posicion
gudelj;Nemanja Gudelj;Sevilla FC;Centrocampistas
o-sancet-1;Oihan Sancet;Athletic Club;Centrocampistas
mascarell;Omar Mascarell;RCD Mallorca;Centrocampistas
oriol-romeu;Oriol Romeu;Girona FC;Centrocampistas
pablo-barrios-rivas;Pablo Barrios;Atlético de Madrid;Centrocampistas
p-fornals;Pablo Fornals;Real Betis;Centrocampistas
pablo-ibanez;Pablo Ibáñez;CA Osasuna;Centrocampistas
pablo-marin;Pablo Marín;Real Sociedad;Centrocampistas
pablo-rivera;Pablo Rivera;Sevilla FC;Centrocampistas
pablo-torre;Pablo Torre;FC Barcelona;Centrocampistas
pape-alassane-gueye;Pape Gueye;Villarreal CF;Centrocampistas
pathe-ciss;Pathé Ciss;Rayo Vallecano;Centrocampistas
pedri;Pedro González López;FC Barcelona;Centrocampistas
pedro-diaz;Pedro Díaz;Rayo Vallecano;Centrocampistas
pepelu;José Luis García Vayá;Valencia CF;Centrocampistas
pere-milla;Pere Milla;RCD Espanyol de Barcelona;Centrocampistas
pol-lozano;Pol Lozano;RCD Espanyol de Barcelona;Centrocampistas
rafael-bauza;Rafael Bauza;RCD Espanyol de Barcelona;Centrocampistas
r-terrats;Ramon Terrats;Villarreal CF;Centrocampistas
nteka;Randy Nteka;Rayo Vallecano;Centrocampistas
raul-chasco;Raúl Chasco;Real Valladolid CF;Centrocampistas
tapia-1;Renato Tapia;CD Leganés;Centrocampistas
navarro-2;Robert Navarro;RCD Mallorca;Centrocampistas
lopez-alcaide;Roberto López;CD Leganés;Centrocampistas
rodri-3;Rodrigo Sánchez Rodríguez;Real Betis;Centrocampistas
de-paul;Rodrigo De Paul;Atlético de Madrid;Centrocampistas
riquelme;Rodrigo Riquelme;Atlético de Madrid;Centrocampistas
ruben-garcia;Rubén García;CA Osasuna;Centrocampistas
sanchez-1;Salvi Sánchez;RCD Espanyol de Barcelona;Centrocampistas
samuel-lino;Samuel Dias Lino;Atlético de Madrid;Centrocampistas
samu-3;Samuel de Almeida Costa;RCD Mallorca;Centrocampistas
santi-c-v;Santi Comesaña;Villarreal CF;Centrocampistas
saul-1;Saúl Ñíguez;Sevilla FC;Centrocampistas
selim-amallah;Selim Amallah;Real Valladolid CF;Centrocampistas
sergi-altimira;Sergi Altimira;Real Betis;Centrocampistas
sergi-canos;Sergi Canós;Valencia CF;Centrocampistas
s-darder;Sergi Darder;RCD Mallorca;Centrocampistas
seydouba-cisse;Seydouba Cissé;CD Leganés;Centrocampistas
stanis-idumbo-muzambo;Stanis Idumbo Muzambo;Sevilla FC;Centrocampistas
stanko-juric;Stanko Juric;Real Valladolid CF;Centrocampistas
toni-villa;Laureano Antonio Villa Suárez;SD Eibar;Centrocampistas
unai-gomez;Unai Gómez;Athletic Club;Centrocampistas
unai-lopez;Unai López;Rayo Vallecano;Centrocampistas
gonzalez-de-zarate;Urko González;Real Sociedad;Centrocampistas
viti;Viti Rozada;UD Las Palmas;Centrocampistas
v-meseguer;Víctor Meseguer;Real Valladolid CF;Centrocampistas
william-2;William Silva de Carvalho;Real Betis;Centrocampistas
williot-swedberg;Williot Swedberg;RC Celta;Centrocampistas
herrera-1;Yangel Herrera;Girona FC;Centrocampistas
jesus-santiago;Jesús Santiago Pérez;Getafe CF;Centrocampistas
yeremy;Yeremy Pino;Villarreal CF;Centrocampistas
yvan-neyou;Yvan Neyou;CD Leganés;Centrocampistas
yaser-asprilla;Yáser Asprilla;Girona FC;Centrocampistas
alex-b;Álex Baena;Villarreal CF;Centrocampistas
alejandro-gil;Álex Gil;Sin equipo;Centrocampistas
aguado-1;Álvaro Aguado;RCD Espanyol de Barcelona;Centrocampistas
alvaro-1;Álvaro García;Rayo Vallecano;Centrocampistas
oscar-4;Óscar Rodríguez;CD Leganés;Centrocampistas
oscar-trejo;Óscar Trejo;Rayo Vallecano;Centrocampistas
oscar-5;Óscar Valentín;Rayo Vallecano;Centrocampistas
abdessamad-ezzalzouli;Abde Ezzalzouli;Real Betis;Delanteros
abderrahman-rebbach;Abde Rebbach;Deportivo Alavés;Delanteros
abdon;Abdón Prats;RCD Mallorca;Delanteros
abel-ruiz;Abel Ruiz;Girona FC;Delanteros
embarba;Adri Embarba;Rayo Vallecano;Delanteros
malcom-adu-ares;Malcom Abdulai Ares Djaló;Real Zaragoza;Delanteros
alberto-mari;Alberto Marí;Real Zaragoza;Delanteros
alejo-veliz;Alejo Véliz;RCD Espanyol de Barcelona;Delanteros
berenguer;Alex Berenguer;Athletic Club;Delanteros
alexander-sorloth;Alexander Sørloth;Atlético de Madrid;Delanteros
alfonso-1;Alfon González;RC Celta;Delanteros
amath;Amath Ndiaye;Real Valladolid CF;Delanteros
barrenetxea;Ander Barrenetxea;Real Sociedad;Delanteros
budimir;Ante Budimir;CA Osasuna;Delanteros
griezmann;Antoine Griezmann;Atlético de Madrid;Delanteros
antoniu-roca;Antoniu Roca;RCD Espanyol de Barcelona;Delanteros
arnaut-danjuma;Arnaut Danjuma;Girona FC;Delanteros
villalibre;Asier Villalibre;Deportivo Alavés;Delanteros
assane-diao;Assane Diao;Real Betis;Delanteros
ayoze-perez;Ayoze Pérez;Villarreal CF;Delanteros
bertug-yildirim;Bertug Yildirim;Getafe CF;Delanteros
bojan-miovski;Bojan Miovski;Girona FC;Delanteros
b-iglesias;Borja Iglesias;RC Celta;Delanteros
bryan;Bryan Gil;Girona FC;Delanteros
bryan-zaragoza;Bryan Zaragoza;CA Osasuna;Delanteros
c-perez;Carles Pérez;Getafe CF;Delanteros
carlos-martin;Carlos Martín;Deportivo Alavés;Delanteros
carlos-vicente;Carlos Vicente;Deportivo Alavés;Delanteros
chidera-ejuke;Chidera Ejuke;Sevilla FC;Delanteros
chimy-avila;Chimy Ávila;Real Betis;Delanteros
coba-da-costa;Coba da Costa;Getafe CF;Delanteros
stuani;Cristhian Stuani;Girona FC;Delanteros
cyle-larin;Cyle Larin;RCD Mallorca;Delanteros
dani-gomez-1;Dani Gómez;Valencia CF;Delanteros
dani-raba;Dani Raba;CD Leganés;Delanteros
d-machis;Darwin Machís;Real Valladolid CF;Delanteros
david-otorbi;David Otorbi;Valencia CF;Delanteros
diego-garcia-2;Diego García;CD Leganés;Delanteros
diego-lopez-noguerol;Diego López;Valencia CF;Delanteros
dodi-lukebakio;Dodi Lukébakio;Sevilla FC;Delanteros
endrick;Endrick Felipe Moreira de Sousa;Real Madrid;Delanteros
etienne-etoo-pineda;Etienne Eto'o Pineda;Rayo Vallecano;Delanteros
etta-eyong;Etta Eyong;Villarreal CF;Delanteros
ferran;Ferran Torres;FC Barcelona;Delanteros
gerard;Gerard Moreno;Villarreal CF;Delanteros
giuliano-simeone;Giuliano Simeone;Atlético de Madrid;Delanteros
guruzeta;Gorka Guruzeta;Athletic Club;Delanteros
hugo-duro;Hugo Duro;Valencia CF;Delanteros
hugo-novoa;Hugo Novoa;Deportivo Alavés;Delanteros
iago-aspas;Iago Aspas;RC Celta;Delanteros
iker-almena;Iker Almena;Sin equipo;Delanteros
iker-benito;Iker Benito;CA Osasuna;Delanteros
ilias-akhomach;Ilias Akhomach;Villarreal B;Delanteros
irvin-cardona;Irvin Cardona;RCD Espanyol de Barcelona;Delanteros
isaac-romero;Isaac Romero;Sevilla FC;Delanteros
williams;Iñaki Williams;Athletic Club;Delanteros
mata;Jaime Mata;UD Las Palmas;Delanteros
puado;Javi Puado;RCD Espanyol de Barcelona;Delanteros
javier-marton;Javier Martón;Athletic Club;Delanteros
joaquin-panichelli;Joaquín Panichelli;CD Mirandés;Delanteros
j-carreras;Jofre Carreras;RCD Espanyol de Barcelona;Delanteros
jonathan-bamba;Jonathan Bamba;RC Celta;Delanteros
de-frutos-1;Jorge de Frutos;Rayo Vallecano;Delanteros
jose-arnaiz;José Arnáiz;CA Osasuna;Delanteros
juanmi;Juan Miguel Jiménez López;Real Betis;Delanteros
juan-latasa;Juanmi Latasa;Real Valladolid CF;Delanteros
julen-lartitegi;Julen Lartitegi;Deportivo Alavés;Delanteros
julian-alvarez;Julián Álvarez;Atlético de Madrid;Delanteros
kelechi-iheanacho;Kelechi Iheanacho;Sevilla FC;Delanteros
kike-g;Kike García;Deportivo Alavés;Delanteros
kylian-mbappe-lottin;Kylian Mbappé;Real Madrid;Delanteros
lamine-yamal;Lamine Yamal Nasraoui Ebana;FC Barcelona;Delanteros
l-rioja;Luis Rioja;Valencia CF;Delanteros
